scenario,par_rele,TDS_principal,Pickup_principal,TDS_respaldo,Pickup_respaldo
cenario_1,58,0.06926459819078445,0.8457223773002625,0.07078097760677338,0.9288710951805115
cenario_1,59,0.7777389883995056,0.11968249827623367,0.07535278797149658,0.8981229662895203
cenario_1,60,0.8004640936851501,0.10397607833147049,0.07068692147731781,0.3803257644176483
cenario_1,61,1.088453769683838,0.19505955278873444,0.07763411104679108,0.838645875453949
cenario_1,62,1.0562862157821655,0.1970680207014084,0.08609794080257416,0.886009156703949
cenario_1,63,0.06364617496728897,0.3823799788951874,0.07937216758728027,0.4479394853115082
cenario_1,64,1.963241696357727,0.21178564429283142,0.06555359065532684,0.9808201789855957
cenario_1,65,1.9369089603424072,0.22158652544021606,0.05588214471936226,0.5253209471702576
cenario_1,66,0.06283140927553177,0.36547040939331055,0.0825791209936142,0.3514295518398285
cenario_1,67,2.044079065322876,0.1877579241991043,-0.0011813620803877711,0.9656962752342224
cenario_1,68,1.7502061128616333,0.2702118456363678,0.04098883643746376,0.3612692952156067
cenario_1,69,0.051739249378442764,0.5081917643547058,0.08031900227069855,0.5219953060150146
cenario_1,70,0.0848776176571846,0.9215849041938782,1.0685906410217285,0.18677949905395508
cenario_1,71,0.05158985033631325,0.44965770840644836,0.06437280774116516,0.5565280318260193
cenario_1,72,0.07215673476457596,0.9164713621139526,0.10142438113689423,0.9168879985809326
cenario_1,73,0.06268510967493057,0.5618484616279602,0.05568346753716469,0.6564868688583374
cenario_1,74,0.05116811767220497,0.8383328914642334,0.058313462883234024,0.9070051908493042
cenario_1,75,0.030752157792448997,0.6707756519317627,0.0925542563199997,0.7059924006462097
cenario_1,76,0.18234463036060333,0.8948431015014648,1.6686073541641235,0.2708973288536072
cenario_1,77,0.11014322191476822,0.4837370812892914,0.9603843092918396,0.039402008056640625
cenario_1,78,0.08732921630144119,0.9356160759925842,0.13020245730876923,0.9221364259719849
cenario_1,79,0.9920282959938049,0.07229707390069962,0.04418075457215309,0.9559464454650879
cenario_1,80,0.9498821496963501,0.04365239664912224,0.060798484832048416,0.46428754925727844
cenario_1,81,1.3304637670516968,0.2532641887664795,0.07239620387554169,0.9454854130744934
cenario_1,82,1.311108946800232,0.26151731610298157,0.060147229582071304,0.9541025161743164
cenario_1,83,0.057562265545129776,0.4374055862426758,0.10175971686840057,0.45640918612480164
cenario_1,84,1.1450673341751099,0.10478455573320389,0.06325073540210724,0.9710787534713745
cenario_1,85,1.2156927585601807,0.11180592328310013,0.06469990313053131,0.3974451720714569
cenario_1,86,0.06445164233446121,1.0057048797607422,1.102236270904541,0.15484091639518738
cenario_1,87,0.1080908253788948,0.5962601900100708,1.2276607751846313,0.11066707968711853
cenario_1,88,1.1179101467132568,0.10784647613763809,0.1778120994567871,0.4276774227619171
cenario_1,89,1.0745960474014282,0.09654510766267776,0.2168102264404297,0.4902750253677368
cenario_1,90,0.3206869065761566,0.34784194827079773,0.09288279712200165,0.6092873811721802
